bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
도스마스전대,음식,기타 간이,용봉동,광주광역시,북구,광주광역시 북구 우치로126번길 12
하모니,음식,주점,문흥1동,광주광역시,북구,광주광역시 북구 서하로 373
애드컴퍼니,과학·기술,광고,우산동,광주광역시,광산구,광주광역시 광산구 풍영철길로 15
반월추어탕,음식,한식,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단내촌로70번길 96
비에이치씨치킨,음식,기타 간이,용봉동,광주광역시,북구,광주광역시 북구 설죽로202번길 43
알토란공인중개사사무소,부동산,부동산 서비스,풍암동,광주광역시,서구,광주광역시 서구 풍암순환로 137-1
네일민영,수리·개인,이용·미용,용봉동,광주광역시,북구,광주광역시 북구 용봉택지로 22
무쳐볶아,음식,한식,도산동,광주광역시,광산구,광주광역시 광산구 도산로 31
마중물추어탕문흥;우산,음식,한식,우산동,광주광역시,북구,광주광역시 북구 중문로 93
동경중전기,시설관리·임대,산업용품 대여,평동,광주광역시,광산구,광주광역시 광산구 평동로803번길 117-66
디자인톡,과학·기술,광고,서남동,광주광역시,동구,광주광역시 동구 문화전당로 15
포레스트데이,수리·개인,이용·미용,풍암동,광주광역시,서구,광주광역시 서구 풍암신암로 40
맛있는과일,소매,식료품 소매,상무1동,광주광역시,서구,광주광역시 서구 내방로 248
핸드메이드공방소꿉,소매,장식품 소매,월산5동,광주광역시,남구,광주광역시 남구 금화로422번길 45
중흥토건중흥레포츠클럽,예술·스포츠,스포츠 서비스,서창동,광주광역시,서구,광주광역시 서구 풍서좌로 129
한국공인금거래소광주점,소매,시계·귀금속 소매,충장동,광주광역시,동구,광주광역시 동구 서석로 31
청춘당찹쌀꽈베기,음식,기타 간이,송정2동,광주광역시,광산구,광주광역시 광산구 광산로 24-3
꼬치상회,음식,주점,양산동,광주광역시,북구,광주광역시 북구 양산신촌길 3
디자인키위,과학·기술,전문 디자인,삼각동,광주광역시,북구,광주광역시 북구 송해로 47-1
우리콩,음식,한식,건국동,광주광역시,북구,광주광역시 북구 하서로 443
온에스테틱,수리·개인,욕탕·신체관리,월곡2동,광주광역시,광산구,광주광역시 광산구 풍영로 41
리턴투핏,예술·스포츠,스포츠 서비스,수완동,광주광역시,광산구,광주광역시 광산구 풍영로 224
학림스터디카페광주방림점,예술·스포츠,도서관·사적지,방림1동,광주광역시,남구,광주광역시 남구 방림로 19-2
멕시카나문화전당점,음식,기타 간이,서남동,광주광역시,동구,광주광역시 동구 문화전당로23번길 6-4
짱짱이네김밥,음식,기타 간이,대촌동,광주광역시,남구,광주광역시 남구 회재로 221
상우칼국수,음식,한식,월산4동,광주광역시,남구,광주광역시 남구 금화로440번길 3-1
리치부동산중개사무소,부동산,부동산 서비스,치평동,광주광역시,서구,광주광역시 서구 상무중앙로 114
특별한조경,과학·기술,기술 서비스,광천동,광주광역시,서구,광주광역시 서구 죽봉대로120번길 12
벨르헤어살롱,수리·개인,이용·미용,효덕동,광주광역시,남구,광주광역시 남구 효우2로26번길 26
스타컴퍼니,시설관리·임대,기타 사업 서비스,유덕동,광주광역시,서구,광주광역시 서구 유덕로27번길 12
아정이네반찬가게,소매,식료품 소매,신가동,광주광역시,광산구,광주광역시 광산구 신창로 8-2
에스모텔,숙박,일반 숙박,두암2동,광주광역시,북구,광주광역시 북구 면앙로155번길 9
해빛KDB점,소매,종합 소매,양동,광주광역시,서구,광주광역시 서구 천변좌로 268
빛고을재활의학과의원,보건의료,의원,운암1동,광주광역시,북구,광주광역시 북구 북문대로 133
타코센세,음식,서양식,운암2동,광주광역시,북구,광주광역시 북구 금호로 42
주안통신,소매,가전·통신 소매,충장동,광주광역시,동구,광주광역시 동구 제봉로 197
무용담,교육,기타 교육,양림동,광주광역시,남구,광주광역시 남구 천변좌로446번길 5-1
러블리카페,음식,비알코올 ,동명동,광주광역시,동구,광주광역시 동구 동명로 56
숨인테리어,과학·기술,전문 디자인,오치1동,광주광역시,북구,광주광역시 북구 송월로 48
엠엘비충장로점,소매,섬유·의복·신발 소매,충장동,광주광역시,동구,광주광역시 동구 충장로 82-2
금탑건축사사무소,과학·기술,기술 서비스,치평동,광주광역시,서구,광주광역시 서구 치평로 18
유스터디,교육,일반 교육,봉선1동,광주광역시,남구,광주광역시 남구 유안초등북1길 2
명가1공인중개사사무소,부동산,부동산 서비스,임곡동,광주광역시,광산구,광주광역시 광산구 임곡로 413
슬슬베이크샵,음식,비알코올 ,상무2동,광주광역시,서구,광주광역시 서구 쌍촌로 34
화장실하수구싱크대냄새제거차단골드트랩,소매,철물·건설자재 소매,상무1동,광주광역시,서구,광주광역시 서구 월드컵4강로197번길 20-23
내일아이에스,소매,가전·통신 소매,지산2동,광주광역시,동구,광주광역시 동구 준법로 5
봉황건어물,소매,식료품 소매,송정2동,광주광역시,광산구,광주광역시 광산구 광산로30번길 65
푸라닭광주,음식,기타 간이,금호1동,광주광역시,서구,광주광역시 서구 운천로17번길 4-13
윤선생우리집앞영어교실북구용두영어교습소,교육,기타 교육,건국동,광주광역시,북구,광주광역시 북구 하서로423번길 52
전원공인중개사사무소,부동산,부동산 서비스,상무2동,광주광역시,서구,광주광역시 서구 운천로92번길 1
쟝리,음식,비알코올 ,유덕동,광주광역시,서구,광주광역시 서구 천변좌하로 436
광주공항렌트패스,시설관리·임대,운송장비 대여,송정2동,광주광역시,광산구,광주광역시 광산구 상무대로 210
자연미뷰티,수리·개인,이용·미용,진월동,광주광역시,남구,광주광역시 남구 서문대로663번길 23
착한마음홈케어,시설관리·임대,청소·방제,운암3동,광주광역시,북구,광주광역시 북구 북문대로159번길 39
또와노래홀,예술·스포츠,유원지·오락,학동,광주광역시,동구,광주광역시 동구 양림로119번길 15-1
이가네반찬,소매,식료품 소매,양산동,광주광역시,북구,광주광역시 북구 양산로 65
필라테스요가서사이어티소태점,교육,기타 교육,지원2동,광주광역시,동구,광주광역시 동구 남문로 564
고래밥,음식,일식,화정1동,광주광역시,서구,광주광역시 서구 월드컵4강로 178
스마트공인중개사사무소,부동산,부동산 서비스,수완동,광주광역시,광산구,광주광역시 광산구 풍영로200번길 67
빈러브,음식,비알코올 ,수완동,광주광역시,광산구,광주광역시 광산구 수등로76번길 35
제일인테리어,과학·기술,전문 디자인,진월동,광주광역시,남구,광주광역시 남구 서문대로 628
셀독24스터디카페,예술·스포츠,도서관·사적지,수완동,광주광역시,광산구,광주광역시 광산구 장신로 142
첨단2지구호반공인중개사사무소,부동산,부동산 서비스,신용동,광주광역시,북구,광주광역시 북구 첨단연신로133번길 15
